// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/98d81589-4374-4608-95e3-94c34571516b
// command took 1.08s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/98d81589-4374-4608-95e3-94c34571516b
// command took 1.81s and exited with 0
// ***** Done, took 00:00:02 (3 sec)   *****
// Found 2 benchmarks:
//   JitOptimizationBenchmark.WriteInField: DefaultJob
//   JitOptimizationBenchmark.WriteInLocalVariable: DefaultJob

// **************************
// Benchmark: JitOptimizationBenchmark.WriteInField: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "98d81589-4374-4608-95e3-94c34571516b.dll" --benchmarkName "ConsoleApp1.JitOptimizationBenchmark.WriteInField" --job "Default" --benchmarkId 0 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/98d81589-4374-4608-95e3-94c34571516b/bin/Release/netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadPilot   19: 4194304 op, 9538366.00 ns, 2.2741 ns/op
WorkloadPilot   20: 8388608 op, 19992668.00 ns, 2.3833 ns/op
WorkloadPilot   21: 16777216 op, 40885255.00 ns, 2.4370 ns/op
WorkloadPilot   22: 33554432 op, 66035679.00 ns, 1.9680 ns/op
WorkloadPilot   23: 67108864 op, 114681176.00 ns, 1.7089 ns/op
WorkloadPilot   24: 134217728 op, 226310316.00 ns, 1.6861 ns/op
WorkloadPilot   25: 268435456 op, 448255223.00 ns, 1.6699 ns/op
WorkloadPilot   26: 536870912 op, 882949737.00 ns, 1.6446 ns/op

OverheadWarmup   1: 536870912 op, 782770035.00 ns, 1.4580 ns/op
OverheadWarmup   2: 536870912 op, 756049037.00 ns, 1.4083 ns/op
OverheadWarmup   3: 536870912 op, 754065668.00 ns, 1.4046 ns/op
OverheadWarmup   4: 536870912 op, 755751908.00 ns, 1.4077 ns/op
OverheadWarmup   5: 536870912 op, 743347577.00 ns, 1.3846 ns/op
OverheadWarmup   6: 536870912 op, 746644724.00 ns, 1.3907 ns/op
OverheadWarmup   7: 536870912 op, 738754874.00 ns, 1.3760 ns/op

OverheadActual   1: 536870912 op, 736892500.00 ns, 1.3726 ns/op
OverheadActual   2: 536870912 op, 742055724.00 ns, 1.3822 ns/op
OverheadActual   3: 536870912 op, 745445407.00 ns, 1.3885 ns/op
OverheadActual   4: 536870912 op, 739922127.00 ns, 1.3782 ns/op
OverheadActual   5: 536870912 op, 741917580.00 ns, 1.3819 ns/op
OverheadActual   6: 536870912 op, 747281933.00 ns, 1.3919 ns/op
OverheadActual   7: 536870912 op, 742608185.00 ns, 1.3832 ns/op
OverheadActual   8: 536870912 op, 741731448.00 ns, 1.3816 ns/op
OverheadActual   9: 536870912 op, 741903929.00 ns, 1.3819 ns/op
OverheadActual  10: 536870912 op, 764173712.00 ns, 1.4234 ns/op
OverheadActual  11: 536870912 op, 737894618.00 ns, 1.3744 ns/op
OverheadActual  12: 536870912 op, 745723416.00 ns, 1.3890 ns/op
OverheadActual  13: 536870912 op, 742699390.00 ns, 1.3834 ns/op
OverheadActual  14: 536870912 op, 739610432.00 ns, 1.3776 ns/op
OverheadActual  15: 536870912 op, 741356560.00 ns, 1.3809 ns/op

WorkloadWarmup   1: 536870912 op, 861418606.00 ns, 1.6045 ns/op
WorkloadWarmup   2: 536870912 op, 866739857.00 ns, 1.6144 ns/op
WorkloadWarmup   3: 536870912 op, 864496595.00 ns, 1.6103 ns/op
WorkloadWarmup   4: 536870912 op, 865278593.00 ns, 1.6117 ns/op
WorkloadWarmup   5: 536870912 op, 865458974.00 ns, 1.6120 ns/op
WorkloadWarmup   6: 536870912 op, 862517209.00 ns, 1.6066 ns/op

// BeforeActualRun
WorkloadActual   1: 536870912 op, 869093106.00 ns, 1.6188 ns/op
WorkloadActual   2: 536870912 op, 861016893.00 ns, 1.6038 ns/op
WorkloadActual   3: 536870912 op, 875084388.00 ns, 1.6300 ns/op
WorkloadActual   4: 536870912 op, 866015319.00 ns, 1.6131 ns/op
WorkloadActual   5: 536870912 op, 864433284.00 ns, 1.6101 ns/op
WorkloadActual   6: 536870912 op, 864032641.00 ns, 1.6094 ns/op
WorkloadActual   7: 536870912 op, 864205701.00 ns, 1.6097 ns/op
WorkloadActual   8: 536870912 op, 863402240.00 ns, 1.6082 ns/op
WorkloadActual   9: 536870912 op, 864711222.00 ns, 1.6107 ns/op
WorkloadActual  10: 536870912 op, 864033042.00 ns, 1.6094 ns/op
WorkloadActual  11: 536870912 op, 862603658.00 ns, 1.6067 ns/op
WorkloadActual  12: 536870912 op, 860435155.00 ns, 1.6027 ns/op
WorkloadActual  13: 536870912 op, 864899929.00 ns, 1.6110 ns/op
WorkloadActual  14: 536870912 op, 882324377.00 ns, 1.6435 ns/op
WorkloadActual  15: 536870912 op, 873224412.00 ns, 1.6265 ns/op

// AfterActualRun
WorkloadResult   1: 536870912 op, 127175526.00 ns, 0.2369 ns/op
WorkloadResult   2: 536870912 op, 119099313.00 ns, 0.2218 ns/op
WorkloadResult   3: 536870912 op, 133166808.00 ns, 0.2480 ns/op
WorkloadResult   4: 536870912 op, 124097739.00 ns, 0.2312 ns/op
WorkloadResult   5: 536870912 op, 122515704.00 ns, 0.2282 ns/op
WorkloadResult   6: 536870912 op, 122115061.00 ns, 0.2275 ns/op
WorkloadResult   7: 536870912 op, 122288121.00 ns, 0.2278 ns/op
WorkloadResult   8: 536870912 op, 121484660.00 ns, 0.2263 ns/op
WorkloadResult   9: 536870912 op, 122793642.00 ns, 0.2287 ns/op
WorkloadResult  10: 536870912 op, 122115462.00 ns, 0.2275 ns/op
WorkloadResult  11: 536870912 op, 120686078.00 ns, 0.2248 ns/op
WorkloadResult  12: 536870912 op, 118517575.00 ns, 0.2208 ns/op
WorkloadResult  13: 536870912 op, 122982349.00 ns, 0.2291 ns/op
WorkloadResult  14: 536870912 op, 131306832.00 ns, 0.2446 ns/op

// AfterAll
// Benchmark Process 9531 has exited with code 0

Mean = 0.2302 ns, StdErr = 0.0021 ns (0.91%); N = 14, StdDev = 0.0079 ns
Min = 0.2208 ns, Q1 = 0.2263 ns, Median = 0.2280 ns, Q3 = 0.2312 ns, Max = 0.2480 ns
IQR = 0.0049 ns, LowerFence = 0.2190 ns, UpperFence = 0.2385 ns
ConfidenceInterval = [0.2214 ns; 0.2391 ns] (CI 99.9%), Margin = 0.0089 ns (3.85% of Mean)
Skewness = 1.06, Kurtosis = 2.99, MValue = 2

// **************************
// Benchmark: JitOptimizationBenchmark.WriteInLocalVariable: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "98d81589-4374-4608-95e3-94c34571516b.dll" --benchmarkName "ConsoleApp1.JitOptimizationBenchmark.WriteInLocalVariable" --job "Default" --benchmarkId 1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/98d81589-4374-4608-95e3-94c34571516b/bin/Release/netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 353397.00 ns, 353.3970 us/op
WorkloadJitting  1: 1 op, 172828.00 ns, 172.8280 us/op

OverheadJitting  2: 16 op, 234446.00 ns, 14.6529 us/op
WorkloadJitting  2: 16 op, 232442.00 ns, 14.5276 us/op

WorkloadPilot    1: 16 op, 551.00 ns, 34.4375 ns/op
WorkloadPilot    2: 32 op, 495.00 ns, 15.4688 ns/op
WorkloadPilot    3: 64 op, 680.00 ns, 10.6250 ns/op
WorkloadPilot    4: 128 op, 721.00 ns, 5.6328 ns/op
WorkloadPilot    5: 256 op, 999.00 ns, 3.9023 ns/op
WorkloadPilot    6: 512 op, 1646.00 ns, 3.2148 ns/op
WorkloadPilot    7: 1024 op, 2807.00 ns, 2.7412 ns/op
WorkloadPilot    8: 2048 op, 5116.00 ns, 2.4980 ns/op
WorkloadPilot    9: 4096 op, 9936.00 ns, 2.4258 ns/op
WorkloadPilot   10: 8192 op, 27010.00 ns, 3.2971 ns/op
WorkloadPilot   11: 16384 op, 38797.00 ns, 2.3680 ns/op
WorkloadPilot   12: 32768 op, 78540.00 ns, 2.3969 ns/op
WorkloadPilot   13: 65536 op, 158014.00 ns, 2.4111 ns/op
WorkloadPilot   14: 131072 op, 311902.00 ns, 2.3796 ns/op
WorkloadPilot   15: 262144 op, 669369.00 ns, 2.5534 ns/op
WorkloadPilot   16: 524288 op, 1261753.00 ns, 2.4066 ns/op
WorkloadPilot   17: 1048576 op, 2632474.00 ns, 2.5105 ns/op
WorkloadPilot   18: 2097152 op, 4920305.00 ns, 2.3462 ns/op
WorkloadPilot   19: 4194304 op, 9967388.00 ns, 2.3764 ns/op
WorkloadPilot   20: 8388608 op, 19931703.00 ns, 2.3760 ns/op
WorkloadPilot   21: 16777216 op, 38571341.00 ns, 2.2990 ns/op
WorkloadPilot   22: 33554432 op, 61053162.00 ns, 1.8195 ns/op
WorkloadPilot   23: 67108864 op, 95551010.00 ns, 1.4238 ns/op
WorkloadPilot   24: 134217728 op, 187176171.00 ns, 1.3946 ns/op
WorkloadPilot   25: 268435456 op, 368829582.00 ns, 1.3740 ns/op
WorkloadPilot   26: 536870912 op, 732830217.00 ns, 1.3650 ns/op

OverheadWarmup   1: 536870912 op, 761049940.00 ns, 1.4176 ns/op
OverheadWarmup   2: 536870912 op, 736139280.00 ns, 1.3712 ns/op
OverheadWarmup   3: 536870912 op, 731265160.00 ns, 1.3621 ns/op
OverheadWarmup   4: 536870912 op, 732418114.00 ns, 1.3642 ns/op
OverheadWarmup   5: 536870912 op, 732577739.00 ns, 1.3645 ns/op
OverheadWarmup   6: 536870912 op, 730222287.00 ns, 1.3601 ns/op
OverheadWarmup   7: 536870912 op, 732510826.00 ns, 1.3644 ns/op
OverheadWarmup   8: 536870912 op, 753837878.00 ns, 1.4041 ns/op
OverheadWarmup   9: 536870912 op, 730805076.00 ns, 1.3612 ns/op

OverheadActual   1: 536870912 op, 729116895.00 ns, 1.3581 ns/op
OverheadActual   2: 536870912 op, 728729646.00 ns, 1.3574 ns/op
OverheadActual   3: 536870912 op, 736939280.00 ns, 1.3727 ns/op
OverheadActual   4: 536870912 op, 741179402.00 ns, 1.3806 ns/op
OverheadActual   5: 536870912 op, 730410223.00 ns, 1.3605 ns/op
OverheadActual   6: 536870912 op, 728272981.00 ns, 1.3565 ns/op
OverheadActual   7: 536870912 op, 734893516.00 ns, 1.3688 ns/op
OverheadActual   8: 536870912 op, 730832112.00 ns, 1.3613 ns/op
OverheadActual   9: 536870912 op, 737997216.00 ns, 1.3746 ns/op
OverheadActual  10: 536870912 op, 757601518.00 ns, 1.4111 ns/op
OverheadActual  11: 536870912 op, 735466931.00 ns, 1.3699 ns/op
OverheadActual  12: 536870912 op, 729716999.00 ns, 1.3592 ns/op
OverheadActual  13: 536870912 op, 730258849.00 ns, 1.3602 ns/op
OverheadActual  14: 536870912 op, 735165540.00 ns, 1.3694 ns/op
OverheadActual  15: 536870912 op, 730490568.00 ns, 1.3606 ns/op

WorkloadWarmup   1: 536870912 op, 750660874.00 ns, 1.3982 ns/op
WorkloadWarmup   2: 536870912 op, 733910157.00 ns, 1.3670 ns/op
WorkloadWarmup   3: 536870912 op, 734220069.00 ns, 1.3676 ns/op
WorkloadWarmup   4: 536870912 op, 731224158.00 ns, 1.3620 ns/op
WorkloadWarmup   5: 536870912 op, 734365775.00 ns, 1.3679 ns/op
WorkloadWarmup   6: 536870912 op, 737053473.00 ns, 1.3729 ns/op
WorkloadWarmup   7: 536870912 op, 730887328.00 ns, 1.3614 ns/op

// BeforeActualRun
WorkloadActual   1: 536870912 op, 733980292.00 ns, 1.3671 ns/op
WorkloadActual   2: 536870912 op, 736273381.00 ns, 1.3714 ns/op
WorkloadActual   3: 536870912 op, 732460191.00 ns, 1.3643 ns/op
WorkloadActual   4: 536870912 op, 732849595.00 ns, 1.3650 ns/op
WorkloadActual   5: 536870912 op, 734736632.00 ns, 1.3686 ns/op
WorkloadActual   6: 536870912 op, 737031418.00 ns, 1.3728 ns/op
WorkloadActual   7: 536870912 op, 732022923.00 ns, 1.3635 ns/op
WorkloadActual   8: 536870912 op, 732440175.00 ns, 1.3643 ns/op
WorkloadActual   9: 536870912 op, 733305131.00 ns, 1.3659 ns/op
WorkloadActual  10: 536870912 op, 733305468.00 ns, 1.3659 ns/op
WorkloadActual  11: 536870912 op, 737587775.00 ns, 1.3739 ns/op
WorkloadActual  12: 536870912 op, 733760448.00 ns, 1.3667 ns/op
WorkloadActual  13: 536870912 op, 737138990.00 ns, 1.3730 ns/op
WorkloadActual  14: 536870912 op, 737584703.00 ns, 1.3739 ns/op
WorkloadActual  15: 536870912 op, 736015384.00 ns, 1.3709 ns/op

// AfterActualRun
WorkloadResult   1: 536870912 op, 3148180.00 ns, 0.0059 ns/op
WorkloadResult   2: 536870912 op, 5441269.00 ns, 0.0101 ns/op
WorkloadResult   3: 536870912 op, 1628079.00 ns, 0.0030 ns/op
WorkloadResult   4: 536870912 op, 2017483.00 ns, 0.0038 ns/op
WorkloadResult   5: 536870912 op, 3904520.00 ns, 0.0073 ns/op
WorkloadResult   6: 536870912 op, 6199306.00 ns, 0.0115 ns/op
WorkloadResult   7: 536870912 op, 1190811.00 ns, 0.0022 ns/op
WorkloadResult   8: 536870912 op, 1608063.00 ns, 0.0030 ns/op
WorkloadResult   9: 536870912 op, 2473019.00 ns, 0.0046 ns/op
WorkloadResult  10: 536870912 op, 2473356.00 ns, 0.0046 ns/op
WorkloadResult  11: 536870912 op, 6755663.00 ns, 0.0126 ns/op
WorkloadResult  12: 536870912 op, 2928336.00 ns, 0.0055 ns/op
WorkloadResult  13: 536870912 op, 6306878.00 ns, 0.0117 ns/op
WorkloadResult  14: 536870912 op, 6752591.00 ns, 0.0126 ns/op
WorkloadResult  15: 536870912 op, 5183272.00 ns, 0.0097 ns/op

// AfterAll
// Benchmark Process 9532 has exited with code 0

Mean = 0.0072 ns, StdErr = 0.0010 ns (13.62%); N = 15, StdDev = 0.0038 ns
Min = 0.0022 ns, Q1 = 0.0038 ns, Median = 0.0059 ns, Q3 = 0.0115 ns, Max = 0.0126 ns
IQR = 0.0078 ns, LowerFence = -0.0079 ns, UpperFence = 0.0232 ns
ConfidenceInterval = [0.0031 ns; 0.0113 ns] (CI 99.9%), Margin = 0.0041 ns (56.39% of Mean)
Skewness = 0.21, Kurtosis = 1.29, MValue = 3.33

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/ConsoleApp1.JitOptimizationBenchmark-report.csv
  BenchmarkDotNet.Artifacts/results/ConsoleApp1.JitOptimizationBenchmark-report-github.md
  BenchmarkDotNet.Artifacts/results/ConsoleApp1.JitOptimizationBenchmark-report.html

// * Detailed results *
JitOptimizationBenchmark.WriteInField: DefaultJob
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 0.2302 ns, StdErr = 0.0021 ns (0.91%); N = 14, StdDev = 0.0079 ns
Min = 0.2208 ns, Q1 = 0.2263 ns, Median = 0.2280 ns, Q3 = 0.2312 ns, Max = 0.2480 ns
IQR = 0.0049 ns, LowerFence = 0.2190 ns, UpperFence = 0.2385 ns
ConfidenceInterval = [0.2214 ns; 0.2391 ns] (CI 99.9%), Margin = 0.0089 ns (3.85% of Mean)
Skewness = 1.06, Kurtosis = 2.99, MValue = 2
-------------------- Histogram --------------------
[0.218 ns ; 0.224 ns) | @@
[0.224 ns ; 0.230 ns) | @@@@@@@@
[0.230 ns ; 0.237 ns) | @@
[0.237 ns ; 0.243 ns) | 
[0.243 ns ; 0.249 ns) | @@
---------------------------------------------------

JitOptimizationBenchmark.WriteInLocalVariable: DefaultJob
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 0.0072 ns, StdErr = 0.0010 ns (13.62%); N = 15, StdDev = 0.0038 ns
Min = 0.0022 ns, Q1 = 0.0038 ns, Median = 0.0059 ns, Q3 = 0.0115 ns, Max = 0.0126 ns
IQR = 0.0078 ns, LowerFence = -0.0079 ns, UpperFence = 0.0232 ns
ConfidenceInterval = [0.0031 ns; 0.0113 ns] (CI 99.9%), Margin = 0.0041 ns (56.39% of Mean)
Skewness = 0.21, Kurtosis = 1.29, MValue = 3.33
-------------------- Histogram --------------------
[0.002 ns ; 0.005 ns) | @@@@@@
[0.005 ns ; 0.008 ns) | @@@
[0.008 ns ; 0.010 ns) | @
[0.010 ns ; 0.013 ns) | @@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.0, OS=macOS 10.15.2 (19C57) [Darwin 19.2.0]
Intel Core i7-9750H CPU 2.60GHz, 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=3.0.100
  [Host]     : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
  DefaultJob : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT


|               Method |      Mean |     Error |    StdDev |
|--------------------- |----------:|----------:|----------:|
|         WriteInField | 0.2302 ns | 0.0089 ns | 0.0079 ns |
| WriteInLocalVariable | 0.0072 ns | 0.0041 ns | 0.0038 ns |

// * Warnings *
ZeroMeasurement
  JitOptimizationBenchmark.WriteInLocalVariable: Default -> The method duration is indistinguishable from the empty method duration
MultimodalDistribution
  JitOptimizationBenchmark.WriteInLocalVariable: Default -> It seems that the distribution is bimodal (mValue = 3.33)

// * Hints *
Outliers
  JitOptimizationBenchmark.WriteInField: Default -> 1 outlier  was  removed (1.64 ns)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:01:13 (73.08 sec), executed benchmarks: 2

Global total time: 00:01:16 (76.09 sec), executed benchmarks: 2
// * Artifacts cleanup *
